record_id,event_ts,business_date,source_system,currency,amount,status,merchant_category,country_code
R2001,2026-05-21T07:00:00Z,2026-05-21,CARD_PROC,USD,10.00,SETTLED,FOOD,US
R2002,2026-05-21T07:05:00Z,2026-05-21,CRYPTO_RAIL,USD,22.00,POSTED,RETAIL,US
R2003,2026-05-21T07:10:00Z,2026-05-21,ACH_GATEWAY,USD,0.00,SETTLED,UTILITIES,US
R2004,2026/05/21 10:99:11,2026-05-21,WIRE_HUB,EUR,55.00,POSTED,TRAVEL,DE
R2005,2026-05-21T07:20:00Z,2026-05-30,WALLET_X,GBP,12.00,NEW,FOOD,GB
R2006,2026-05-21T07:25:00Z,2026-05-21,CARD_PROC,USD,-3.00,FAILED,RETAIL,US
R2007,2026-05-21T07:30:00Z,2026-05-21,ACH_GATEWAY,USD,15.00,POSTED,HEALTH,USA
"R2007 ",2026-05-21T07:35:00Z,2026-05-21,ACH_GATEWAY,USD,15.00,POSTED,HEALTH,USA
R2008,,2026-05-21,WIRE_HUB,EUR,70.00,POSTED,TRAVEL,DE
R2009,2026-05-21T07:45:00Z,2026-05-21,WALLET_X,USD,18.00,UNKNOWN,FOOD,US
R2010,2026-05-21T23:30:00-05:00,2026-05-22,CARD_PROC,USD,21.00,POSTED,RETAIL,US
R2011,2026-05-21T08:00:00Z,2026-05-21,CARD_PROC,USD,14.00,settled,FOOD,US
R2012,2026-05-21T08:02:00Z,2026-05-21,card_proc,USD,17.00,POSTED,RETAIL,US
R2013,2026-05-21T08:05:00Z,2026-05-21,ACH_GATEWAY,USD,"1,234.56",SETTLED,SERVICES,US
R2014,2026-05-21T08:10:00Z,2026-05-21,WALLET_X,USD,9.99,POSTED,FOOD," "
R2015,2026-05-21T08:15:00Z,2026-05-21,CARD_PROC,USD,12.00,POSTED,RETAIL,us
R2016,2026-05-21T23:59:59-11:00,2026-05-22,CARD_PROC,USD,5.00,POSTED,RETAIL,US
R1003,2026-05-21T08:25:00Z,2026-05-21,WIRE_HUB,EUR,800.00,SETTLED,TRAVEL,DE
R2018,2026-06-01T09:00:00Z,2026-05-21,ACH_GATEWAY,USD,20.00,POSTED,UTILITIES,US
